gene	delta_high_minus_low	mean_high	mean_low
MDM4	0.22913439875448532	0.5530044736755664	0.32387007492108105
TP53	0.17055629625229812	0.4787942678774686	0.30823797162517047
CDKN1B	0.13909891863990254	0.40173327140014353	0.262634352760241
BBC3	0.11870006104436684	0.34598629796467134	0.2272862369203045
CDK6	0.11731760893013898	0.5033438928168822	0.3860262838867432
BAX	0.09782125686149198	0.3352534179768216	0.23743216111532964
CDK4	0.08537972609547584	0.4471409575221068	0.36176123142663097
CDKN1A	0.08104726565441589	0.33208132649469996	0.25103406084028407
CDKN2A	0.07999678200358312	0.4734688517223533	0.3934720697187702
PMAIP1	0.0595196399367503	0.32303347000974003	0.26351383007298973
CHEK2	0.0576835638754164	0.36113794541635263	0.30345438154093624
CHEK1	0.05472804972181705	0.3359510296860475	0.28122297996423046
MDM2	0.054083110970371606	0.4569632122321911	0.4028801012618195
E2F1	0.051195073841105	0.4000563442310528	0.3488612703899478
RB1	0.0346983990856099	0.35326956944885596	0.31857117036324606
ATR	0.028238366838786333	0.35910866096295385	0.3308702941241675
CCND3	0.02601015236195703	0.39857576895935515	0.3725656165973981
CCND2	0.005951447092413575	0.4111074067559328	0.40515595966351925
CCND1	-0.009874198432217485	0.40167068119342536	0.41154487962564285
ATM	-0.03862058382440314	0.2761204072916324	0.31474099111603554
